sleep_awake,sleep_bedtime_end,sleep_bedtime_start,sleep_breath_average,sleep_deep,sleep_duration,sleep_efficiency,sleep_hr_average,sleep_hr_lowest,sleep_light,sleep_midpoint_time,sleep_onset_latency,sleep_rem,sleep_restless,sleep_rmssd,sleep_score,sleep_score_deep,sleep_score_efficiency,sleep_score_latency,sleep_score_rem,sleep_score_total,summary_date,sleep_temperature_delta,sleep_temperature_deviation,sleep_temperature_trend_deviation,sleep_total,activity_average_met,activity_cal_active,activity_cal_total,activity_high,activity_inactive,activity_low,activity_medium,activity_score,activity_steps,readiness_score,readiness_score_activity_balance
1770,2021-08-30T09:36:57+03:00,2021-08-30T05:16:57+03:00,13.5,4320,15600,89,54.49,51,7380,7620,510,2130,42,63,74,96,79,83,51,85,2021-08-30,-0.07,-0.07,0.26,13830,1.4375,531,2618,2,550,177,72,89.0,10159,59,1
2460,2021-08-31T09:56:57+03:00,2021-08-31T02:21:57+03:00,13.875,6330,27300,91,57.58,53,15150,13830,840,3360,39,52,73,96,95,97,69,86,2021-08-31,0.2,0.2,0.3,24840,1.8125,997,3233,51,508,357,39,96.0,14551,48,1
3180,2021-09-01T11:35:22+03:00,2021-09-01T02:41:22+03:00,13.0,6030,32040,90,59.82,55,17730,15990,180,5100,35,50,60,75,88,67,42,63,2021-09-01,-0.08,-0.08,0.19,28860,1.71875,846,3063,0,369,377,117,98.0,19118,46,1
3390,2021-09-02T10:56:03+03:00,2021-09-02T03:40:03+03:00,13.5,4470,26160,87,64.88,58,15210,13500,660,3090,43,39,72,97,96,89,62,84,2021-09-02,-0.24,-0.24,0.07,22770,1.5,493,2677,0,472,351,45,94.0,10866,64,18
2850,2021-09-03T10:41:47+03:00,2021-09-03T02:02:47+03:00,13.5,6900,31140,91,57.05,51,16860,15630,210,4530,41,64,69,96,83,70,58,78,2021-09-03,-0.11,-0.11,0.0,28290,2.09375,1482,3738,81,421,407,68,93.0,20196,57,36
4590,2021-09-04T11:50:56+03:00,2021-09-04T03:08:56+03:00,12.75,6540,31320,85,63.0,55,15870,15900,810,4320,37,45,75,98,96,97,73,92,2021-09-04,-0.11,-0.11,0.01,26730,1.46875,517,2641,1,520,255,57,87.0,10921,60,18
2820,2021-09-05T11:57:48+03:00,2021-09-05T02:45:48+03:00,13.25,7290,33120,91,59.94,53,17640,16320,270,5370,39,51,74,72,99,72,83,88,2021-09-05,0.13,0.13,0.13,30300,1.5,611,2725,0,555,138,102,73.0,12549,64,53
1920,2021-09-06T10:41:02+03:00,2021-09-06T02:00:02+03:00,12.625,4320,31260,94,61.73,57,18900,15690,150,6120,34,52,68,97,97,67,47,71,2021-09-06,-0.06,-0.06,0.15,29340,1.625,685,2889,26,576,308,31,72.0,10272,69,56
2160,2021-09-07T09:56:39+03:00,2021-09-07T02:23:39+03:00,13.125,6990,27180,92,59.22,54,14550,13440,420,3480,33,53,73,78,98,78,95,80,2021-09-07,0.17,0.17,0.21,25020,1.65625,741,2951,2,507,390,93,72.0,16095,72,75
1920,2021-09-08T10:46:51+03:00,2021-09-08T02:41:51+03:00,13.375,4590,29100,93,58.68,53,15570,14340,180,7020,32,47,84,97,96,67,95,97,2021-09-08,-0.11,-0.11,0.16,27180,1.5625,601,2798,5,346,444,44,75.0,10363,90,88
3330,2021-09-09T10:31:46+03:00,2021-09-09T00:46:46+03:00,12.75,6720,35100,91,56.41,50,18060,17250,1050,6990,39,53,45,28,67,91,39,32,2021-09-09,0.1,0.1,0.18,31770,1.53125,555,2759,0,563,335,67,71.0,12492,43,91
4110,2021-09-10T08:22:02+03:00,2021-09-10T03:04:02+03:00,14.5,1740,19080,78,82.92,71,10290,9750,810,2940,31,12,73,99,95,97,82,83,2021-09-10,-0.43,-0.43,0.0,14970,1.875,1075,3344,34,527,388,89,71.0,14332,61,82
3210,2021-09-11T11:58:06+03:00,2021-09-11T03:18:06+03:00,13.25,8160,31200,90,65.46,60,13860,15600,270,5970,41,39,73,99,95,72,82,83,2021-09-11,-0.43,-0.43,0.0,27990,1.21875,139,2019,5,106,42,11,82.0,2347,59,94
